date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:54	41648/41648	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:00%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-65	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-65.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:48:54	62370/62370	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:00%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-66	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-66.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:48:55	58876/58876	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:00%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-67	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-67.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:48:55	35417/35417	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:01%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-69	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-69.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:48:55	44945/44945	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:01%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-68	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-68.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:48:58	43200/43200	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:04%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-70	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-70.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:48:58	47228/47228	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:04%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-71	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-71.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:48:58	37148/37148	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:04%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-72	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-72.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:48:59	45346/45346	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:05%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-73	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-73.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:48:59	37400/37400	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:05%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-74	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-74.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:48:59	40978/40978	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:05%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-75	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-75.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:49:00	35441/35441	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:06%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-76	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-76.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:49:00	37153/37153	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:06%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-77	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-77.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:49:00	37160/37160	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:07%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-78	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-78.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:49:01	45430/45430	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:07%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-79	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-79.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:49:01	35463/35463	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:07%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-80	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-80.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:49:02	37127/37127	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:09%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-81	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-81.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
